n,seconds
1069,0.0803816
1070,0.0814394
1071,0.0809136
1072,0.0812864
1073,0.0812735
1074,0.0807204
1075,0.0811219
1076,0.0816814
1077,0.0819053
1078,0.0821456
1079,0.0822875
1080,0.082333
1081,0.0828597
1082,0.0826959
1083,0.0829453
1084,0.0829023
1085,0.0833003
1086,0.1093542
1087,0.0857516
1088,0.0840968
1089,0.0851413
1090,0.0838448
1091,0.0843003
1092,0.084211
1093,0.084452
1094,0.0846619
1095,0.085618
1096,0.0870015
1097,0.1065451
1098,0.0857786
1099,0.0863599
1100,0.0856295
1101,0.0861158
1102,0.0856514
1103,0.0875251
1104,0.1134698
1105,0.0893574
1106,0.1182057
1107,0.1556251
1108,0.0908549
1109,0.0912136
1110,0.113387
1111,0.1128664
1112,0.0904299
1113,0.0870277
1114,0.0873047
1115,0.0875568
1116,0.0878471
1117,0.0885339
1118,0.0897445
1119,0.0891927
1120,0.0894009
1121,0.1086492
1122,0.0949585
1123,0.0892984
1124,0.191859
1125,0.0900251
1126,0.0891054
1127,0.0900653
1128,0.0895161
1129,0.0897838
1130,0.089773
1131,0.0903929
1132,0.0899868
1133,0.0901848
1134,0.0904843
1135,0.119585
1136,0.1046283
1137,0.1319375
1138,0.0914464
1139,0.0922224
1140,0.0921061
1141,0.0921362
1142,0.0919301
1143,0.0922508
1144,0.0921075
1145,0.0923363
1146,0.0924597
1147,0.0925197
1148,0.0931986
1149,0.0935132
1150,0.0935949
1151,0.0936553
1152,0.0937509
1153,0.0939178
1154,0.0942873
1155,0.0937367
1156,0.0945592
1157,0.0976943
1158,0.0948373
1159,0.0950317
1160,0.09561
1161,0.0947805
1162,0.0952358
1163,0.0952466
1164,0.0953255
1165,0.095744
1166,0.0961413
1167,0.0977309
1168,0.0961986
1169,0.0962151
1170,0.0967183
1171,0.0967462
1172,0.0974799
1173,0.0971727
1174,0.0978503
1175,0.0980389
1176,0.0980346
1177,0.0986391
1178,0.0976461
1179,0.0976261
1180,0.097872
1181,0.0990537
1182,0.0991182
1183,0.0988931
1184,0.0984152
1185,0.0987673
1186,0.0991951
1187,0.1001531
1188,0.1001173
1189,0.1000666
1190,0.1002531
1191,0.1003444
1192,0.1005337
1193,0.1013437
1194,0.1016105
1195,0.1013805
1196,0.1013933
1197,0.1016159
1198,0.1027133
1199,0.1019941
1200,0.1022934
1201,0.1024954
1202,0.1024661
1203,0.1017641
1204,0.1024567
1205,0.102135
1206,0.1027087
1207,0.1026246
1208,0.1023392
1209,0.1028431
1210,0.1027773
1211,0.1032351
1212,0.1033045
1213,0.1032145
1214,0.103627
1215,0.1037668
1216,0.1041584
1217,0.1040745
1218,0.1051345
1219,0.1440326
1220,0.1052172
1221,0.105276
1222,0.1063929
1223,0.1089218
1224,0.1051913
1225,0.1056639
1226,0.1059028
1227,0.1069885
1228,0.1062105
1229,0.106701
1230,0.1065934
1231,0.1069691
1232,0.1423546
1233,0.1100135
1234,0.1070899
1235,0.1076295
1236,0.1079555
1237,0.1073656
1238,0.1074516
1239,0.1079702
1240,0.1086739
1241,0.1088702
1242,0.1117307
1243,0.1107883
1244,0.1478938
1245,0.1144785
1246,0.1115314
1247,0.1114827
1248,0.1122459
1249,0.1100219
1250,0.1118401
1251,0.1118042
1252,0.1499371
1253,0.1137833
1254,0.1106339
1255,0.1126391
1256,0.1127027
1257,0.1112264
1258,0.1110477
1259,0.1124467
1260,0.1119311
1261,0.1151765
1262,0.133786
1263,0.1140314
1264,0.1197449
1265,0.1236523
1266,0.1146955
1267,0.1557994
1268,0.1153831
1269,0.116255
1270,0.1139052
1271,0.1136761
1272,0.1409292
1273,0.1139275
1274,0.1213952
1275,0.1325791
1276,0.1192589
1277,0.1155522
1278,0.1298183
1279,0.1356207
1280,0.1155458
1281,0.1155476
1282,0.1153802
1283,0.126651
1284,0.13616
1285,0.1319228
1286,0.1171165
1287,0.1169997
1288,0.1167087
1289,0.1172144
1290,0.1174617
1291,0.1815375
1292,0.1264954
1293,0.1184772
1294,0.1179767
1295,0.1178682
1296,0.1190974
1297,0.1185948
1298,0.1190711
1299,0.1187678
1300,0.1202863
1301,0.1233369
1302,0.1193631
1303,0.1196264
1304,0.1198339
1305,0.1665425
1306,0.1336126
1307,0.1204351
1308,0.1204005
1309,0.1214263
1310,0.1212586
1311,0.1224312
1312,0.1301239
1313,0.1418133
1314,0.1264537
1315,0.1218017
1316,0.1213865
1317,0.1232425
1318,0.1292509
1319,0.1223581
1320,0.15988
1321,0.123554
1322,0.122576
1323,0.1227543
1324,0.1231771
1325,0.1250394
1326,0.1831341
1327,0.1237508
1328,0.1239663
1329,0.124629
1330,0.1240077
1331,0.1662501
1332,0.1244862
1333,0.124873
1334,0.149407
1335,0.1258626
1336,0.176266
1337,0.1258037
1338,0.1259173
1339,0.1265088
1340,0.1676518
1341,0.1321885
1342,0.1264929
1343,0.1275417
1344,0.1282411
1345,0.1278668
1346,0.1275601
1347,0.1279441
1348,0.127801
1349,0.1282967
1350,0.1283238
1351,0.1281072
1352,0.12874
1353,0.1282465
1354,0.1290826
1355,0.1290842
1356,0.1299848
1357,0.1303064
1358,0.1299935
1359,0.1297177
1360,0.1307685
1361,0.1300163
1362,0.1305846
1363,0.1304292
1364,0.1316677
1365,0.1310634
1366,0.1315536
1367,0.1311623
1368,0.1325742
1369,0.1941929
1370,0.1314475
1371,0.1977728
1372,0.1351614
1373,0.1324428
1374,0.1323469
1375,0.1333135
1376,0.1328322
1377,0.1340262
1378,0.1410655
1379,0.1337218
1380,0.1337297
1381,0.1349721
1382,0.1366685
1383,0.1727043
1384,0.1343158
1385,0.1353598
1386,0.1358097
1387,0.1731613
1388,0.1348195
1389,0.1348623
1390,0.1359865
1391,0.1359392
1392,0.1361512
1393,0.1366377
1394,0.1358826
1395,0.13684
1396,0.1368963
1397,0.1370002
1398,0.1370016
1399,0.13734
1400,0.1376626
1401,0.137424
1402,0.1389497
1403,0.1394036
1404,0.1418732
1405,0.1632908
1406,0.1382043
1407,0.1388002
1408,0.139429
1409,0.1406095
1410,0.1398787
1411,0.1414751
1412,0.1404494
1413,0.1423524
1414,0.1404423
1415,0.1413675
1416,0.1437375
1417,0.141785
1418,0.1411212
1419,0.1422201
1420,0.1514434
1421,0.1592642
1422,0.141847
1423,0.1418618
1424,0.1425949
1425,0.1419759
1426,0.1423467
1427,0.1426198
1428,0.1437143
1429,0.1443406
1430,0.14776
1431,0.1441273
1432,0.14357
1433,0.1460844
1434,0.1440363
1435,0.1452198
1436,0.1455514
1437,0.1448619
1438,0.1455896
1439,0.1455573
1440,0.1450344
1441,0.1479633
1442,0.1460564
1443,0.1455357
1444,0.1457986
1445,0.1490024
1446,0.1467883
1447,0.1472604
1448,0.1835474
1449,0.1610495
1450,0.1481555
1451,0.147999
1452,0.1481864
1453,0.2137019
1454,0.2934709
1455,0.1769486
